Country,2018,iso3
Argentina,125.737,ARG
Australia,351.11600000000004,AUS
Austria,45.327,AUT
Belgium,73.27,BEL
Brazil,310.388,BRA
Brunei Darussalam,7.769,BRN
Bulgaria,35.782000000000004,BGR
Cambodia,8.778,KHM
Canada,477.892,CAN
Chile,77.33300000000001,CHL
"China, P.R.: Hong Kong",69.30499999999999,HKG
"China, P.R.: Mainland",9424.172,CHN
Colombia,63.231,COL
Costa Rica,4.832,CRI
"Croatia, Rep. of",11.408,HRV
Cyprus,5.101,CYP
Czech Rep.,85.383,CZE
Denmark,53.932,DNK
"Estonia, Rep. of",14.382,EST
Finland,43.421,FIN
France,215.084,FRA
Germany,554.9159999999999,DEU
Greece,69.562,GRC
Hungary,34.659,HUN
Iceland,4.171,ISL
India,2151.117,IND
Indonesia,482.304,IDN
Ireland,41.533,IRL
Israel,52.492,ISR
Italy,236.998,ITA
Japan,997.82,JPN
"Kazakhstan, Rep. of",177.97699999999998,KAZ
"Korea, Rep. of",586.3600000000001,KOR
Lao People's Dem. Rep.,17.59,LAO
Latvia,5.973,LVA
Lithuania,7.011,LTU
Luxembourg,5.781,LUX
Malaysia,213.453,MYS
Malta,3.18,MLT
Mexico,341.458,MEX
Morocco,47.178,MAR
Myanmar,31.561,MMR
"Netherlands, The",140.997,NLD
New Zealand,27.69,NZL
Norway,50.432,NOR
Peru,37.719,PER
Philippines,117.912,PHL
"Poland, Rep. of",246.932,POL
Portugal,41.426,PRT
Romania,54.399,ROU
Russian Federation,1372.388,RUS
Saudi Arabia,467.511,SAU
Singapore,152.362,SGP
Slovak Rep.,24.507,SVK
"Slovenia, Rep. of",9.669,SVN
South Africa,391.988,ZAF
Spain,197.308,ESP
Sweden,35.675,SWE
Switzerland,33.976,CHE
Taiwan Province of China,265.918,TWN
Thailand,234.078,THA
Tunisia,20.47,TUN
Turkey,349.549,TUR
United Kingdom,265.992,GBR
United States,3912.248,USA
Vietnam,237.928,VNM
